,,,,,,,C,,,WP,,,PC,,,CP,,,IA,,,E,,,T,,,Overall
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.714975845410628,0.2569444444444444,0.3780332056194125,0.0,0.0,0.0,0.7087378640776699,0.3924731182795699,0.5051903114186851,0.7981770833333334,0.523037542662116,0.6319587628865979,0.9104016477857878,0.8223255813953488,0.8641251221896383,0.0,0.0,0.0,0.9528795811518325,0.9032258064516129,0.9273885350318471,0.8564376799670917,0.6020821283979179,0.707080998471727,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.6966824644549763,0.2552083333333333,0.3735705209656925,0.0,0.0,0.0,0.6407766990291263,0.3548387096774194,0.4567474048442907,0.799475753604194,0.5204778156996587,0.6304909560723514,0.9057377049180327,0.8223255813953488,0.8620185275475378,1.0,0.04,0.07692307692307693,0.9476439790575916,0.8982630272952854,0.9222929936305734,0.8497536945812808,0.5986119144013881,0.7024092297251442,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.6886792452830188,0.2534722222222222,0.37055837563451777,0.0,0.0,0.0,0.6568627450980392,0.3602150537634409,0.4652777777777778,0.8034076015727392,0.523037542662116,0.6335917312661498,0.911042944785276,0.8288372093023256,0.8679980516317584,1.0,0.04,0.07692307692307693,0.9554973821989529,0.9057071960297767,0.929936305732484,0.854388843314192,0.6023713128976287,0.7065807327001358,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.6912442396313364,0.2604166666666667,0.3783102143757882,1.0,0.047619047619047616,0.0909090909090909,0.7115384615384616,0.3978494623655914,0.5103448275862068,0.8042049934296978,0.5221843003412969,0.6332126228660113,0.9086188992731049,0.813953488372093,0.8586849852796861,0.0,0.0,0.0,0.9581151832460733,0.9081885856079405,0.932484076433121,0.8558484349258649,0.6009253903990746,0.7060822290180088,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7117117117117117,0.2743055555555556,0.3959899749373434,1.0,0.047619047619047616,0.0909090909090909,0.6972477064220184,0.40860215053763443,0.5152542372881356,0.809775429326288,0.523037542662116,0.6355624675997925,0.9129554655870445,0.8390697674418605,0.8744546776539022,1.0,0.16,0.2758620689655173,0.9561855670103093,0.9205955334987593,0.9380530973451328,0.8606723369785338,0.6145170618854829,0.7170575333220853,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.6973684210526315,0.2760416666666667,0.3955223880597015,1.0,0.047619047619047616,0.0909090909090909,0.6822429906542056,0.3924731182795699,0.4982935153583618,0.8114209827357237,0.5213310580204779,0.6348051948051948,0.9087179487179488,0.8241860465116279,0.864390243902439,1.0,0.04,0.07692307692307693,0.9561855670103093,0.9205955334987593,0.9380530973451328,0.8569099062372605,0.6078658183921342,0.7112163762476738,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.6981981981981982,0.2690972222222222,0.38847117794486213,1.0,0.047619047619047616,0.0909090909090909,0.719626168224299,0.41397849462365593,0.5255972696245733,0.8095854922279793,0.5332764505119454,0.6430041152263374,0.9148717948717948,0.8297674418604651,0.8702439024390245,1.0,0.04,0.07692307692307693,0.958656330749354,0.9205955334987593,0.9392405063291139,0.8608519269776876,0.6136495083863505,0.716528786088131,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7180616740088106,0.2829861111111111,0.4059775840597758,1.0,0.047619047619047616,0.0909090909090909,0.7102803738317757,0.40860215053763443,0.5187713310580205,0.8117647058823529,0.5298634812286689,0.6411977284460506,0.9119754350051177,0.8288372093023256,0.868421052631579,1.0,0.12,0.21428571428571425,0.9561855670103093,0.9205955334987593,0.9380530973451328,0.8614262560777958,0.6148062463851938,0.7175160310496119,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.7022222222222222,0.2743055555555556,0.3945068664169788,1.0,0.047619047619047616,0.0909090909090909,0.7264150943396226,0.41397849462365593,0.5273972602739726,0.8057366362451108,0.5273037542662116,0.6374419804022692,0.917093142272262,0.8334883720930233,0.8732943469785575,1.0,0.16,0.2758620689655173,0.9562982005141388,0.9230769230769231,0.9393939393939394,0.861077359254759,0.6148062463851938,0.7173949721612957,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.6,,0.683982683982684,0.2743055555555556,0.39157372986369277,1.0,0.047619047619047616,0.0909090909090909,0.6818181818181818,0.4032258064516129,0.5067567567567568,0.8092105263157895,0.5247440273037542,0.6366459627329192,0.916923076923077,0.8316279069767442,0.8721951219512196,1.0,0.2,0.33333333333333337,0.958005249343832,0.9057071960297767,0.9311224489795917,0.857896873731222,0.6110468478889531,0.713730788718122,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6908212560386473,0.2482638888888889,0.3652618135376756,0.0,0.0,0.0,0.4368932038834951,0.24193548387096775,0.31141868512110726,0.62890625,0.4121160409556314,0.4979381443298969,0.761071060762101,0.6874418604651162,0.7223851417399805,0.0,0.0,0.0,0.8403141361256544,0.7965260545905707,0.8178343949044586,0.7120526532291238,0.5005783689994217,0.5878757004584819,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6824644549763034,0.25,0.3659466327827192,0.0,0.0,0.0,0.3786407766990291,0.20967741935483872,0.2698961937716263,0.6159895150720839,0.40102389078498296,0.4857881136950905,0.7551229508196722,0.6855813953488372,0.7186738176499269,0.0,0.0,0.0,0.8612565445026178,0.8163771712158809,0.8382165605095542,0.7056650246305419,0.49710815500289185,0.5833050559891415,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6698113207547169,0.2465277777777778,0.36040609137055835,0.0,0.0,0.0,0.4411764705882353,0.24193548387096775,0.3125,0.6251638269986893,0.4069965870307167,0.4930232558139535,0.7556237218813906,0.6874418604651162,0.7199220652703361,0.0,0.0,0.0,0.8586387434554974,0.8138957816377171,0.8356687898089172,0.7100082034454471,0.5005783689994217,0.5871777476255089,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6774193548387096,0.2552083333333333,0.37074401008827235,1.0,0.047619047619047616,0.0909090909090909,0.49038461538461536,0.27419354838709675,0.35172413793103446,0.6202365308804205,0.40273037542662116,0.4883600620796689,0.7570093457943925,0.6781395348837209,0.7154072620215898,0.0,0.0,0.0,0.8481675392670157,0.8039702233250621,0.8254777070063695,0.7100494233937397,0.4985540775014459,0.5857968059802923,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6891891891891891,0.265625,0.38345864661654133,1.0,0.047619047619047616,0.0909090909090909,0.48623853211009177,0.2849462365591398,0.35932203389830514,0.607661822985469,0.3924914675767918,0.4769310523587352,0.757085020242915,0.695813953488372,0.7251575375666506,0.75,0.12,0.20689655172413793,0.8530927835051546,0.8213399503722084,0.8369152970922882,0.7083839611178615,0.5057836899942163,0.5901805297789776,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6842105263157895,0.2708333333333333,0.38805970149253727,1.0,0.047619047619047616,0.0909090909090909,0.45794392523364486,0.26344086021505375,0.3344709897610922,0.6122177954847278,0.39334470989761094,0.478961038961039,0.7558974358974359,0.6855813953488372,0.7190243902439024,0.0,0.0,0.0,0.8685567010309279,0.8362282878411911,0.8520859671302149,0.7097431716265797,0.5034702139965298,0.5890712231432922,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6846846846846847,0.2638888888888889,0.38095238095238093,1.0,0.047619047619047616,0.0909090909090909,0.40186915887850466,0.23118279569892472,0.2935153583617748,0.5958549222797928,0.3924914675767918,0.47325102880658443,0.7476923076923077,0.6781395348837209,0.7112195121951219,0.0,0.0,0.0,0.8527131782945736,0.8188585607940446,0.8354430379746836,0.6957403651115619,0.4959514170040486,0.5790984298497382,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.7048458149779736,0.2777777777777778,0.3985056039850561,1.0,0.047619047619047616,0.0909090909090909,0.4672897196261682,0.26881720430107525,0.341296928327645,0.6143790849673203,0.40102389078498296,0.4852865255549819,0.7492323439099283,0.6809302325581396,0.7134502923976609,0.6666666666666666,0.08,0.14285714285714285,0.8505154639175257,0.8188585607940446,0.8343868520859671,0.7070502431118314,0.504626951995373,0.5889301383732702,
th_train_iou= 0.6, th_nms= 0.01, th_p= 0.8,,0.6888888888888889,0.2690972222222222,0.3870162297128589,1.0,0.047619047619047616,0.0909090909090909,0.4528301886792453,0.25806451612903225,0.3287671232876712,0.6166883963494133
